1,Gala Apples,Gala,5,75.67,913,2024-11-10,0.973,1.271,B8-1454FA73A966,Description for product 1,Contains Allergen1,true,true,2024-10-05 14:54:04.903,2024-10-05 14:54:04.903
2,Nestlé Whole Milk,Nestlé,2,63.91,255,2025-07-04,0.138,1.028,7D-E698F2BB74FD,Description for product 2,Contains Allergen2,true,true,2024-10-05 14:54:04.907,2024-10-05 14:54:04.907
3,Pampers Diapers,Pampers,8,31.12,10,2025-08-04,4.373,1.342,97-870C9CFF60B4,Description for product 3,Contains Allergen3,true,true,2024-10-05 14:54:04.910,2024-10-05 14:54:04.910
4,Pampers Diapers,Pampers,8,29.62,400,2025-04-20,2.617,10.041,37-9BB9F303E537,Description for product 4,Contains Allergen4,true,true,2024-10-05 14:54:04.910,2024-10-05 14:54:04.910
5,Dove Shampoo,Dove,10,87.26,274,2025-09-18,0.792,6.750,4A-4215377426A4,Description for product 5,Contains Allergen5,true,true,2024-10-05 14:54:04.913,2024-10-05 14:54:04.913
6,Ariel Detergent,Ariel,9,9.74,879,2024-11-27,4.152,0.769,9B-1CB515C0ADB3,Description for product 6,Contains Allergen6,true,true,2024-10-05 14:54:04.913,2024-10-05 14:54:04.913
7,Nestlé Whole Milk,Nestlé,2,38.41,972,2025-08-29,4.754,8.162,A9-350925EEA4A1,Description for product 7,Contains Allergen7,true,true,2024-10-05 14:54:04.913,2024-10-05 14:54:04.913
8,Lays Potato Chips,Lays,7,5.82,967,2025-06-05,3.557,0.407,DA-9B3BB93C55BA,Description for product 8,Contains Allergen8,true,true,2024-10-05 14:54:04.917,2024-10-05 14:54:04.917
9,Gala Apples,Gala,5,41.81,724,2025-08-26,3.783,4.457,78-2B375D632FFB,Description for product 9,Contains Allergen9,true,true,2024-10-05 14:54:04.917,2024-10-05 14:54:04.917
10,Gala Apples,Gala,5,26.71,956,2025-06-13,4.095,6.118,93-5613A1B329DF,Description for product 10,Contains Allergen0,true,true,2024-10-05 14:54:04.920,2024-10-05 14:54:04.920
11,Pampers Diapers,Pampers,8,53.06,197,2025-05-13,0.204,3.330,EE-DFA33F6C0CF8,Description for product 11,Contains Allergen1,true,true,2024-10-05 14:54:04.930,2024-10-05 14:54:04.930
12,Lays Potato Chips,Lays,7,64.37,708,2025-09-22,0.278,7.005,CF-2C1E71DB0EB9,Description for product 12,Contains Allergen2,true,true,2024-10-05 14:54:04.930,2024-10-05 14:54:04.930
13,Pampers Diapers,Pampers,8,20.33,607,2024-12-29,2.077,0.953,33-C1CF0A07E78A,Description for product 13,Contains Allergen3,true,true,2024-10-05 14:54:04.933,2024-10-05 14:54:04.933
14,Frozen Lasagna,Frozen,6,57.39,312,2024-11-28,3.521,9.981,52-8963DE696A50,Description for product 14,Contains Allergen4,true,true,2024-10-05 14:54:04.933,2024-10-05 14:54:04.933
15,Häagen-Dazs Vanilla Ice Cream,Häagen-Dazs,6,5.81,750,2025-01-16,1.970,6.629,05-A55200491663,Description for product 15,Contains Allergen5,true,true,2024-10-05 14:54:04.937,2024-10-05 14:54:04.937
16,Lays Potato Chips,Lays,7,75.33,671,2024-12-14,4.791,1.350,5A-DD079EE0F05F,Description for product 16,Contains Allergen6,true,true,2024-10-05 14:54:04.940,2024-10-05 14:54:04.940
17,Gala Apples,Gala,5,74.51,533,2025-07-02,3.488,2.720,9C-1D905ECD120F,Description for product 17,Contains Allergen7,true,true,2024-10-05 14:54:04.940,2024-10-05 14:54:04.940
18,Dove Shampoo,Dove,10,82.25,218,2025-03-07,1.114,0.547,1F-54DC682D9E84,Description for product 18,Contains Allergen8,true,true,2024-10-05 14:54:04.943,2024-10-05 14:54:04.943
19,Gala Apples,Gala,5,37.58,100,2025-05-02,0.589,7.351,FF-7B467D74AE67,Description for product 19,Contains Allergen9,true,true,2024-10-05 14:54:04.943,2024-10-05 14:54:04.943
20,Bimbo Whole Wheat Bread,Bimbo,3,44.27,817,2025-09-29,2.690,3.132,CB-0C5E3C7BDA99,Description for product 20,Contains Allergen0,true,true,2024-10-05 14:54:04.943,2024-10-05 14:54:04.943
21,Coca-Cola Zero,Coca-Cola,1,82.24,654,2025-02-17,3.549,8.621,D7-7450E66D3484,Description for product 21,Contains Allergen1,true,true,2024-10-05 14:54:04.947,2024-10-05 14:54:04.947
22,Bimbo Whole Wheat Bread,Bimbo,3,43.81,125,2025-03-26,2.030,2.694,2C-9E4F37B3F2F4,Description for product 22,Contains Allergen2,true,true,2024-10-05 14:54:04.950,2024-10-05 14:54:04.950
