1,Beverages,"Various types of beverages including soft drinks, juices, and water."
2,Dairy Products,"Dairy products such as milk, yogurt, and cheese."
3,Bakery Goods,"Bakery items including bread, pastries, and cookies."
4,Meat & Seafood,Different kinds of meat and seafood.
5,Fruits & Vegetables,Fresh fruits and vegetables.
6,Frozen Foods,Frozen food items including ice cream and ready-to-eat meals.
7,Snacks,"Snacks such as chips, cookies, and candy."
8,Baby Products,Products for babies including diapers and baby food.
9,Household Supplies,Household cleaning supplies and other household items.
10,Personal Care,"Personal care products including shampoo, soap, and toothpaste."
